date,ticker,open,high,low,close,volume
2019-04-11,BBCA,8230,8270,8170,8210,9443058
2019-04-12,BBCA,8260,8290,8240,8260,10688660
2019-04-15,BBCA,8240,8330,8110,8200,4612185
2019-04-16,BBCA,8280,8310,8190,8220,16735334
2019-04-17,BBCA,8200,8290,8160,8240,12103677
2019-04-18,BBCA,8200,8390,7980,8170,21089454
2019-04-19,BBCA,8150,8250,8010,8120,18096777
2019-04-22,BBCA,8110,8160,8000,8050,10756623
2019-04-23,BBCA,8050,8180,7910,8040,8085569
2019-04-24,BBCA,8030,8050,7940,7960,17382717
2019-04-25,BBCA,7930,8000,7760,7830,5355970
2019-04-26,BBCA,7780,7780,7740,7740,8988350
2019-04-29,BBCA,7640,7690,7590,7640,22175722
2019-04-30,BBCA,7670,7830,7630,7790,6798348
2019-05-01,BBCA,7850,7940,7780,7860,9144068
2019-05-02,BBCA,7900,7980,7770,7850,8541273
2019-05-03,BBCA,7880,7940,7780,7830,17028130
2019-05-06,BBCA,7890,8040,7730,7880,6414347
2019-05-07,BBCA,7870,7960,7820,7910,8610700
2019-05-08,BBCA,7810,7940,7720,7850,5313121
2019-05-09,BBCA,7900,8100,7840,8040,8395945
2019-05-10,BBCA,8040,8200,7810,7970,8544717
2019-05-13,BBCA,7940,8030,7910,8000,11411356
2019-05-14,BBCA,8050,8110,8030,8090,34583099
2019-05-15,BBCA,8100,8220,7930,8050,14470985
2019-05-16,BBCA,8030,8080,7980,8020,6332511
2019-05-17,BBCA,8030,8320,7760,8040,7840244
2019-05-20,BBCA,8030,8160,7890,8020,5848556
2019-05-21,BBCA,8020,8080,7930,7990,11682836
2019-05-22,BBCA,7970,8320,7810,8150,8898130
2019-05-23,BBCA,8230,8230,8120,8120,13088179
2019-05-24,BBCA,8100,8160,8040,8090,23601616
2019-05-27,BBCA,8160,8350,8060,8260,13970588
2019-05-28,BBCA,8260,8490,8200,8420,7094113
2019-05-29,BBCA,8430,8530,8310,8400,19580122
2019-05-30,BBCA,8410,8700,8210,8500,8391884
2019-05-31,BBCA,8520,8640,8360,8480,10985882
2019-06-03,BBCA,8510,8720,8460,8660,20843303
2019-06-04,BBCA,8690,8750,8600,8660,5526120
2019-06-05,BBCA,8690,8920,8590,8810,16812317
2019-06-06,BBCA,8790,8850,8650,8710,4849288
2019-06-07,BBCA,8660,8760,8550,8650,11748480
2019-06-10,BBCA,8680,8930,8460,8710,18827073
2019-06-11,BBCA,8770,8950,8540,8720,6409903
2019-06-12,BBCA,8680,8760,8450,8520,8304298
2019-06-13,BBCA,8470,8650,8200,8370,7507555
2019-06-14,BBCA,8360,8490,8330,8460,10002356
2019-06-17,BBCA,8500,8570,8490,8560,6879198
2019-06-18,BBCA,8580,8790,8380,8590,6462362
2019-06-19,BBCA,8500,8690,8390,8580,5380782
2019-06-20,BBCA,8500,8550,8420,8480,6426187
2019-06-21,BBCA,8460,8500,8370,8410,33540311
2019-06-24,BBCA,8450,8500,8450,8490,3626738
2019-06-25,BBCA,8470,8700,8360,8580,8359176
2019-06-26,BBCA,8590,8830,8570,8810,19476479
2019-06-27,BBCA,8880,9110,8740,8980,8688639
2019-06-28,BBCA,9030,9120,9030,9110,14030250
2019-07-01,BBCA,9090,9220,8830,8950,4776517
2019-07-02,BBCA,8940,9110,8830,9010,12944016
2019-07-03,BBCA,8970,9060,8690,8780,10457299
2019-07-04,BBCA,8810,9020,8620,8830,8139631
2019-07-05,BBCA,8860,8930,8840,8910,6822120
2019-07-08,BBCA,8880,8950,8770,8840,13016786
2019-07-09,BBCA,8890,8970,8850,8920,9561364
2019-07-10,BBCA,8930,8950,8880,8900,4139279
2019-07-11,BBCA,8850,8990,8570,8700,5569644
2019-07-12,BBCA,8620,8700,8400,8480,9163823
2019-07-15,BBCA,8540,8610,8380,8450,10585337
2019-07-16,BBCA,8440,8660,8360,8590,13169014
2019-07-17,BBCA,8600,8620,8580,8600,8612494
2019-07-18,BBCA,8570,8660,8370,8460,5539736
2019-07-19,BBCA,8510,8590,8460,8540,7749683
2019-07-22,BBCA,8560,8750,8390,8580,25978443
2019-07-23,BBCA,8600,8780,8390,8570,19471811
2019-07-24,BBCA,8600,8610,8500,8510,14602182
2019-07-25,BBCA,8460,8530,8390,8450,9539407
2019-07-26,BBCA,8460,8490,8460,8490,12122883
2019-07-29,BBCA,8470,8610,8320,8460,4425175
2019-07-30,BBCA,8490,8590,8320,8430,10107275
2019-07-31,BBCA,8420,8480,8350,8420,7889431
2019-08-01,BBCA,8500,8640,8470,8620,6548401
2019-08-02,BBCA,8700,8810,8620,8730,11664153
2019-08-05,BBCA,8780,8930,8590,8730,9181210
2019-08-06,BBCA,8690,8710,8550,8580,13433023
2019-08-07,BBCA,8590,8630,8490,8530,10926055
2019-08-08,BBCA,8530,8670,8500,8640,8239174
2019-08-09,BBCA,8630,8700,8540,8610,8311466
2019-08-12,BBCA,8590,8670,8590,8670,5528362
2019-08-13,BBCA,8690,8720,8530,8560,20399853
2019-08-14,BBCA,8570,8600,8560,8590,21117346
2019-08-15,BBCA,8600,8830,8420,8650,6997010
2019-08-16,BBCA,8640,8700,8510,8570,10704241
2019-08-19,BBCA,8580,8780,8440,8640,8410201
2019-08-20,BBCA,8640,8770,8480,8610,9844980
2019-08-21,BBCA,8590,8830,8480,8710,13461190
2019-08-22,BBCA,8690,8700,8510,8520,17354300
2019-08-23,BBCA,8590,8700,8500,8610,7636417
2019-08-26,BBCA,8500,8580,8250,8330,17280058
2019-08-27,BBCA,8360,8470,8260,8370,9691623
2019-08-28,BBCA,8320,8430,8120,8230,17893121
2019-08-29,BBCA,8280,8450,8060,8220,7437467
2019-08-30,BBCA,8270,8460,8100,8280,5454791
2019-09-02,BBCA,8350,8520,8270,8440,8600904
2019-09-03,BBCA,8530,8590,8510,8570,13712909
2019-09-04,BBCA,8560,8620,8470,8530,15847637
2019-09-05,BBCA,8540,8640,8460,8560,13718605
2019-09-06,BBCA,8500,8600,8380,8470,11671304
2019-09-09,BBCA,8450,8600,8180,8330,21079638
2019-09-10,BBCA,8350,8480,8310,8440,4104555
2019-09-11,BBCA,8380,8480,8190,8280,16515465
2019-09-12,BBCA,8270,8330,8200,8270,18019936
2019-09-13,BBCA,8230,8400,8120,8290,7029008
2019-09-16,BBCA,8340,8420,8270,8350,9626226
2019-09-17,BBCA,8340,8500,8230,8380,8544736
2019-09-18,BBCA,8380,8520,8230,8360,9805598
2019-09-19,BBCA,8260,8350,8150,8240,15019780
2019-09-20,BBCA,8250,8330,8190,8280,17024844
2019-09-23,BBCA,8320,8390,8290,8370,13915351
2019-09-24,BBCA,8350,8390,8270,8310,14179464
2019-09-25,BBCA,8280,8290,8160,8170,21317949
2019-09-26,BBCA,8160,8380,7880,8090,5248206
2019-09-27,BBCA,8160,8220,8150,8220,16412022
2019-09-30,BBCA,8220,8390,8090,8260,18853106
2019-10-01,BBCA,8260,8320,8180,8230,10285285
2019-10-02,BBCA,8270,8430,8260,8420,4652120
2019-10-03,BBCA,8400,8580,8270,8450,16148799
2019-10-04,BBCA,8460,8620,8320,8470,8895382
2019-10-07,BBCA,8480,8490,8340,8350,5421606
2019-10-08,BBCA,8360,8450,8340,8430,17827078
2019-10-09,BBCA,8430,8680,8240,8490,11842851
2019-10-10,BBCA,8460,8620,8280,8430,4756173
2019-10-11,BBCA,8440,8660,8290,8500,5243004
2019-10-14,BBCA,8530,8650,8450,8560,12362973
2019-10-15,BBCA,8490,8530,8390,8430,5121740
2019-10-16,BBCA,8410,8450,8260,8310,30543732
2019-10-17,BBCA,8310,8380,8180,8250,11970273
2019-10-18,BBCA,8290,8340,8210,8260,7957816
2019-10-21,BBCA,8250,8350,8200,8300,6869187
2019-10-22,BBCA,8350,8470,8310,8440,20217225
2019-10-23,BBCA,8420,8720,8310,8590,16881176
2019-10-24,BBCA,8600,8630,8380,8410,10332108
2019-10-25,BBCA,8400,8490,8300,8390,9927812
2019-10-28,BBCA,8380,8550,8280,8450,6172332
2019-10-29,BBCA,8510,8650,8510,8650,5906592
2019-10-30,BBCA,8650,8690,8590,8640,15404074
2019-10-31,BBCA,8680,8730,8600,8660,14985706
2019-11-01,BBCA,8670,8850,8460,8640,6551821
2019-11-04,BBCA,8660,8730,8640,8700,14404097
2019-11-05,BBCA,8690,8850,8560,8720,7379697
2019-11-06,BBCA,8630,8670,8530,8560,7494781
2019-11-07,BBCA,8540,8690,8380,8530,12209319
2019-11-08,BBCA,8500,8540,8330,8380,5039738
2019-11-11,BBCA,8290,8350,8080,8140,15168942
2019-11-12,BBCA,8120,8150,8050,8080,10598461
2019-11-13,BBCA,8070,8250,7940,8110,21755470
2019-11-14,BBCA,8160,8300,8010,8150,7473799
2019-11-15,BBCA,8190,8320,8080,8210,19964293
2019-11-18,BBCA,8160,8270,8060,8170,16600905
2019-11-19,BBCA,8190,8400,8110,8320,7335399
2019-11-20,BBCA,8350,8390,8310,8350,8031450
2019-11-21,BBCA,8280,8380,8050,8140,6200799
2019-11-22,BBCA,8060,8240,7760,7930,13783027
2019-11-25,BBCA,7940,8120,7740,7920,8524948
2019-11-26,BBCA,7820,7880,7760,7830,12312870
2019-11-27,BBCA,7750,7890,7610,7740,11926088
2019-11-28,BBCA,7710,7760,7680,7720,13195132
2019-11-29,BBCA,7790,7840,7730,7790,13794110
2019-12-02,BBCA,7840,7870,7740,7770,9705784
2019-12-03,BBCA,7770,7920,7690,7840,9021823
2019-12-04,BBCA,7860,8000,7690,7830,7719463
2019-12-05,BBCA,7790,7810,7680,7700,13268649
2019-12-06,BBCA,7710,7840,7600,7730,9357781
2019-12-09,BBCA,7700,7700,7630,7630,6239453
2019-12-10,BBCA,7630,7740,7570,7680,3279114
2019-12-11,BBCA,7700,7720,7680,7700,9702527
2019-12-12,BBCA,7620,7640,7540,7560,7892826
2019-12-13,BBCA,7630,7850,7450,7670,10148003
2019-12-16,BBCA,7730,7800,7610,7680,9911699
2019-12-17,BBCA,7710,7740,7700,7730,14736379
2019-12-18,BBCA,7760,7810,7680,7730,8157357
2019-12-19,BBCA,7820,7980,7750,7910,5005538
2019-12-20,BBCA,7870,7870,7830,7830,11878868
2019-12-23,BBCA,7870,7950,7790,7870,11006210
2019-12-24,BBCA,7930,8120,7750,7940,10060250
2019-12-25,BBCA,7870,7890,7770,7790,18024248
2019-12-26,BBCA,7730,7800,7610,7680,6759122
2019-12-27,BBCA,7720,7890,7630,7800,12796541
2019-12-30,BBCA,7850,7900,7750,7800,7017288
2019-12-31,BBCA,7810,7870,7780,7840,11955952
2020-01-01,BBCA,7850,7920,7770,7840,15381130
2020-01-02,BBCA,7820,7950,7790,7920,10710972
2020-01-03,BBCA,7940,8020,7850,7930,13347528
2020-01-06,BBCA,7970,8030,7860,7920,13881852
2020-01-07,BBCA,7930,8090,7800,7960,4531550
2020-01-08,BBCA,7950,8070,7840,7960,4275568
2020-01-09,BBCA,8020,8080,7990,8050,11667577
2020-01-10,BBCA,8040,8200,7810,7960,12048683
2020-01-13,BBCA,7970,8180,7860,8080,4618887
2020-01-14,BBCA,8020,8190,7800,7960,7424813
2020-01-15,BBCA,7930,8000,7880,7950,30171243
2020-01-16,BBCA,7900,7980,7830,7910,6948470
2020-01-17,BBCA,7890,7910,7850,7870,9361384
2020-01-20,BBCA,7860,7970,7660,7770,17940481
2020-01-21,BBCA,7710,7760,7620,7680,5429842
2020-01-22,BBCA,7700,7700,7680,7680,8414398
2020-01-23,BBCA,7770,7810,7750,7790,7462677
2020-01-24,BBCA,7840,7990,7780,7930,12786034
2020-01-27,BBCA,7940,8000,7810,7870,5419812
2020-01-28,BBCA,7890,8000,7890,8000,15866492
2020-01-29,BBCA,8010,8180,8010,8170,12609258
2020-01-30,BBCA,8130,8170,8130,8170,10493827
2020-01-31,BBCA,8250,8490,8230,8470,7221058
2020-02-03,BBCA,8460,8580,8450,8570,10573733
2020-02-04,BBCA,8560,8660,8560,8660,6296128
2020-02-05,BBCA,8690,8990,8380,8660,8000722
2020-02-06,BBCA,8660,8750,8380,8480,8546876
2020-02-07,BBCA,8350,8410,8280,8340,13407970
2020-02-10,BBCA,8300,8360,8220,8280,11831935
2020-02-11,BBCA,8280,8300,8230,8240,7912326
2020-02-12,BBCA,8270,8340,8200,8270,4848235
2020-02-13,BBCA,8290,8440,8130,8280,18860952
2020-02-14,BBCA,8240,8310,8220,8280,12050368
2020-02-17,BBCA,8270,8360,8190,8280,8217932
2020-02-18,BBCA,8230,8260,8150,8180,9222827
2020-02-19,BBCA,8190,8310,8090,8210,4879985
2020-02-20,BBCA,8150,8170,7970,7980,21680141
2020-02-21,BBCA,7980,8050,7870,7940,10697320
2020-02-24,BBCA,7940,7990,7860,7910,8123531
2020-02-25,BBCA,7880,7970,7750,7840,12058405
2020-02-26,BBCA,7830,7970,7740,7870,10503120
2020-02-27,BBCA,7930,8040,7910,8020,14247516
2020-02-28,BBCA,7990,8040,7960,8000,16064247
2020-03-02,BBCA,7950,8050,7810,7910,22666904
2020-03-03,BBCA,7940,7980,7910,7960,8331575
2020-03-04,BBCA,8020,8120,7960,8070,6527772
2020-03-05,BBCA,8090,8270,8010,8190,9928497
2020-03-06,BBCA,8230,8250,8100,8120,7887405
2020-03-09,BBCA,8160,8220,8040,8100,10058113
2020-03-10,BBCA,8120,8170,8100,8140,9451262
2020-03-11,BBCA,8140,8270,8030,8150,7419220
2020-03-12,BBCA,8200,8400,8100,8300,27688877
2020-03-13,BBCA,8280,8450,8040,8200,4018290
2020-03-16,BBCA,8200,8460,8030,8280,10916826
2020-03-17,BBCA,8280,8440,8180,8330,15606273
2020-03-18,BBCA,8310,8330,8280,8300,6338699
2020-03-19,BBCA,8270,8430,8180,8340,21084869
2020-03-20,BBCA,8330,8510,8210,8390,3580613
2020-03-23,BBCA,8320,8440,8200,8320,8647347
2020-03-24,BBCA,8370,8720,8200,8540,13427331
2020-03-25,BBCA,8590,8770,8520,8700,5647952
2020-03-26,BBCA,8680,8710,8660,8690,7510526
2020-03-27,BBCA,8700,8860,8510,8670,26306348
2020-03-30,BBCA,8650,8780,8540,8670,10719930
2020-03-31,BBCA,8700,8790,8610,8700,8915213
2020-04-01,BBCA,8650,8810,8450,8600,8831877
2020-04-02,BBCA,8560,8570,8450,8460,7397165
2020-04-03,BBCA,8430,8460,8300,8320,22094398
2020-04-06,BBCA,8330,8390,8300,8360,11720298
2020-04-07,BBCA,8360,8440,8310,8390,20248183
2020-04-08,BBCA,8470,8540,8400,8480,7286355
2020-04-09,BBCA,8510,8620,8500,8610,5464415
2020-04-10,BBCA,8590,8710,8560,8690,9486156
2020-04-13,BBCA,8720,8870,8620,8770,4809015
2020-04-14,BBCA,8770,8910,8600,8730,7995124
2020-04-15,BBCA,8740,8870,8640,8770,7837836
2020-04-16,BBCA,8760,8980,8620,8850,3370365
2020-04-17,BBCA,8930,9060,8870,9000,5935923
2020-04-20,BBCA,8950,9170,8680,8890,9577660
2020-04-21,BBCA,8910,8940,8840,8870,3985340
2020-04-22,BBCA,8880,8950,8830,8910,10059759
2020-04-23,BBCA,8900,9170,8710,8970,14329434
2020-04-24,BBCA,8900,8980,8680,8760,14332324
2020-04-27,BBCA,8810,8990,8680,8860,13927319
2020-04-28,BBCA,8910,9050,8680,8820,8971109
2020-04-29,BBCA,8780,8840,8750,8820,28984509
2020-04-30,BBCA,8890,9090,8710,8900,30855503
2020-05-01,BBCA,8910,9040,8870,9000,7243972
2020-05-04,BBCA,8970,8990,8900,8930,10536278
2020-05-05,BBCA,8910,8990,8910,8990,6985925
2020-05-06,BBCA,8940,8960,8840,8860,5732435
2020-05-07,BBCA,8930,9240,8820,9120,12503177
2020-05-08,BBCA,9100,9150,9090,9130,9278555
2020-05-11,BBCA,9140,9320,9010,9180,8749107
2020-05-12,BBCA,9180,9280,9040,9140,3395598
2020-05-13,BBCA,9170,9210,9090,9140,17603490
2020-05-14,BBCA,9240,9470,9070,9290,10170880
2020-05-15,BBCA,9280,9300,9150,9180,11073378
2020-05-18,BBCA,9160,9230,9020,9080,8413937
2020-05-19,BBCA,9190,9470,9110,9380,4665658
2020-05-20,BBCA,9380,9510,9290,9410,6774597
2020-05-21,BBCA,9380,9580,9220,9420,7645164
2020-05-22,BBCA,9370,9470,9180,9270,11079476
2020-05-25,BBCA,9310,9330,9230,9250,8126336
2020-05-26,BBCA,9300,9460,9180,9340,8704211
2020-05-27,BBCA,9320,9570,9230,9470,4826924
2020-05-28,BBCA,9490,9580,9480,9580,7040529
2020-05-29,BBCA,9640,9680,9610,9650,17105615
2020-06-01,BBCA,9590,9630,9500,9530,18356260
2020-06-02,BBCA,9470,9650,9260,9450,5677473
2020-06-03,BBCA,9510,9720,9400,9610,9289632
2020-06-04,BBCA,9640,9660,9560,9590,7368649
2020-06-05,BBCA,9680,9840,9560,9720,18557971
2020-06-08,BBCA,9690,9730,9580,9610,7751186
2020-06-09,BBCA,9610,9690,9450,9530,11400332
2020-06-10,BBCA,9490,9550,9450,9510,5594529
2020-06-11,BBCA,9500,9620,9370,9480,4545220
2020-06-12,BBCA,9490,9590,9360,9460,4637208
2020-06-15,BBCA,9450,9580,9310,9440,11789599
2020-06-16,BBCA,9460,9570,9340,9450,11683499
2020-06-17,BBCA,9470,9800,9310,9640,20374713
2020-06-18,BBCA,9640,9750,9470,9580,32149960
2020-06-19,BBCA,9570,9710,9500,9640,5025886
2020-06-22,BBCA,9730,9800,9690,9750,12424283
2020-06-23,BBCA,9760,9820,9730,9790,3766893
2020-06-24,BBCA,9770,9810,9760,9800,9331503
2020-06-25,BBCA,9760,9880,9420,9540,7197062
2020-06-26,BBCA,9520,9600,9420,9500,8337164
2020-06-29,BBCA,9510,9540,9370,9400,17387315
2020-06-30,BBCA,9490,9630,9460,9600,4138231
2020-07-01,BBCA,9580,9790,9270,9470,16014846
2020-07-02,BBCA,9460,9550,9280,9370,20388597
2020-07-03,BBCA,9290,9340,9240,9290,13236525
2020-07-06,BBCA,9330,9380,9300,9340,4841412
2020-07-07,BBCA,9300,9350,9210,9260,9965377
2020-07-08,BBCA,9200,9230,9080,9120,11464320
2020-07-09,BBCA,9160,9250,9100,9180,11493366
2020-07-10,BBCA,9200,9500,9000,9290,17606923
2020-07-13,BBCA,9430,9620,9310,9500,21646331
2020-07-14,BBCA,9450,9520,9330,9410,11917071
2020-07-15,BBCA,9370,9420,9220,9270,4494789
2020-07-16,BBCA,9240,9440,9070,9260,27680837
2020-07-17,BBCA,9250,9360,9080,9190,9799903
2020-07-20,BBCA,9180,9350,9060,9220,6356369
2020-07-21,BBCA,9190,9330,9070,9210,13204853
2020-07-22,BBCA,9100,9260,8910,9070,40988321
2020-07-23,BBCA,9060,9280,8730,8950,7620925
2020-07-24,BBCA,8990,9200,8880,9080,5322813
2020-07-27,BBCA,9030,9080,8950,8990,4996726
2020-07-28,BBCA,8980,9010,8900,8940,11415535
2020-07-29,BBCA,8980,9060,8800,8880,19232366
2020-07-30,BBCA,8880,9060,8720,8900,14472061
2020-07-31,BBCA,8900,8900,8900,8900,9499943
2020-08-03,BBCA,8970,9100,8940,9060,13276729
2020-08-04,BBCA,9130,9300,9070,9240,8473905
2020-08-05,BBCA,9270,9280,9230,9250,7649898
2020-08-06,BBCA,9240,9360,9120,9240,6758772
2020-08-07,BBCA,9250,9420,9240,9400,10050530
2020-08-10,BBCA,9390,9430,9280,9320,7105423
2020-08-11,BBCA,9320,9520,9130,9320,11287835
2020-08-12,BBCA,9340,9600,9180,9430,13438947
2020-08-13,BBCA,9380,9410,9360,9390,13020810
2020-08-14,BBCA,9390,9520,9170,9300,6849885
2020-08-17,BBCA,9350,9480,9240,9370,10368119
2020-08-18,BBCA,9350,9390,9290,9330,5969459
2020-08-19,BBCA,9320,9480,9190,9340,3940913
2020-08-20,BBCA,9380,9380,9380,9380,12624689
2020-08-21,BBCA,9340,9440,9050,9150,7817190
2020-08-24,BBCA,9130,9320,8980,9160,12732967
2020-08-25,BBCA,9120,9340,8940,9160,8192704
2020-08-26,BBCA,9200,9340,9050,9180,8852090
2020-08-27,BBCA,9120,9260,8830,8970,11666680
2020-08-28,BBCA,8900,8910,8800,8810,10769062
2020-08-31,BBCA,8760,8780,8700,8720,6996488
2020-09-01,BBCA,8720,8840,8670,8780,7296946
2020-09-02,BBCA,8700,8850,8390,8540,20839801
2020-09-03,BBCA,8460,8470,8260,8280,14747569
2020-09-04,BBCA,8290,8440,8210,8360,7735353
2020-09-07,BBCA,8370,8470,8320,8410,14517478
2020-09-08,BBCA,8450,8590,8320,8450,9005447
2020-09-09,BBCA,8430,8600,8220,8380,7180002
2020-09-10,BBCA,8350,8450,8130,8240,5908774
2020-09-11,BBCA,8250,8340,8180,8270,5932879
2020-09-14,BBCA,8300,8390,8250,8340,19337756
2020-09-15,BBCA,8350,8550,8230,8430,35383130
2020-09-16,BBCA,8450,8650,8410,8610,7567100
2020-09-17,BBCA,8660,8950,8600,8880,9929385
2020-09-18,BBCA,8930,9060,8800,8930,32681574
2020-09-21,BBCA,8830,8900,8750,8820,18567425
2020-09-22,BBCA,8810,8830,8740,8750,4177328
2020-09-23,BBCA,8750,8750,8730,8730,9763777
2020-09-24,BBCA,8750,8820,8700,8770,17810842
2020-09-25,BBCA,8770,8780,8730,8740,6342858
2020-09-28,BBCA,8790,8920,8580,8710,13428008
2020-09-29,BBCA,8690,8690,8540,8550,16414347
2020-09-30,BBCA,8520,8650,8460,8590,7897632
2020-10-01,BBCA,8650,8850,8510,8710,6973406
2020-10-02,BBCA,8720,8810,8700,8800,13466333
2020-10-05,BBCA,8810,8920,8680,8800,10181771
2020-10-06,BBCA,8780,8890,8710,8820,10094969
2020-10-07,BBCA,8850,8960,8840,8940,13650886
2020-10-08,BBCA,8940,9170,8700,8930,5251870
2020-10-09,BBCA,8930,9110,8880,9060,18842713
2020-10-12,BBCA,9030,9130,8870,8970,2566034
2020-10-13,BBCA,8940,8960,8890,8920,5443056
2020-10-14,BBCA,8980,9160,8940,9110,4792489
2020-10-15,BBCA,9120,9290,9000,9170,20828155
2020-10-16,BBCA,9120,9150,9120,9140,11938605
2020-10-19,BBCA,9100,9250,8940,9080,12519837
2020-10-20,BBCA,9090,9220,9030,9150,11517877
2020-10-21,BBCA,9170,9260,9030,9110,11758850
2020-10-22,BBCA,9100,9270,9080,9250,5744801
2020-10-23,BBCA,9360,9530,9310,9490,12158286
2020-10-26,BBCA,9500,9560,9440,9490,6821387
2020-10-27,BBCA,9500,9670,9370,9540,10100159
2020-10-28,BBCA,9520,9550,9420,9440,13392939
2020-10-29,BBCA,9480,9530,9470,9520,27694170
2020-10-30,BBCA,9490,9640,9270,9420,11381644
2020-11-02,BBCA,9440,9500,9390,9450,6042716
2020-11-03,BBCA,9350,9450,9040,9140,4241364
2020-11-04,BBCA,9150,9330,8890,9070,5779438
2020-11-05,BBCA,9110,9550,8800,9230,4983422
2020-11-06,BBCA,9310,9540,9240,9480,7981362
2020-11-09,BBCA,9490,9500,9400,9420,11407372
2020-11-10,BBCA,9380,9440,9350,9410,16596495
2020-11-11,BBCA,9360,9400,9360,9400,5104433
2020-11-12,BBCA,9490,9710,9380,9590,7922346
2020-11-13,BBCA,9610,9730,9410,9520,14703640
2020-11-16,BBCA,9540,9660,9510,9630,12192764
2020-11-17,BBCA,9630,9790,9330,9480,7896944
2020-11-18,BBCA,9450,9520,9430,9500,12445667
2020-11-19,BBCA,9390,9470,9190,9260,15224234
2020-11-20,BBCA,9350,9530,9310,9490,13467601
2020-11-23,BBCA,9540,9780,9430,9680,6175300
2020-11-24,BBCA,9690,9880,9500,9690,10191499
2020-11-25,BBCA,9690,9940,9360,9610,13999536
2020-11-26,BBCA,9670,9760,9550,9640,10237739
2020-11-27,BBCA,9620,9670,9590,9650,30509948
